page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
312560,Gerard I van Gelre,http://nl.wikipedia.org/w/index.php?diff=41717342,41717342,1405602202,193.177.183.210,3249649618
886186,Abraham van der Hulst (fregat uit 1993),http://nl.wikipedia.org/w/index.php?diff=41717206,41717206,1405600168,145.50.39.8,2435983112
914990,Aflegsysteem,http://nl.wikipedia.org/w/index.php?diff=41717010,41717010,1405598101,193.177.183.210,3249649618
914990,Aflegsysteem,http://nl.wikipedia.org/w/index.php?diff=41716425,41716425,1405590619,193.177.183.210,3249649618
4029299,Wapen van Pekela,http://nl.wikipedia.org/w/index.php?diff=41715966,41715966,1405585492,193.177.183.210,3249649618
22249,Valkenswaard (gemeente),http://nl.wikipedia.org/w/index.php?diff=41715615,41715615,1405578191,212.61.55.36,3560781604
131632,Alfons Ariëns,http://nl.wikipedia.org/w/index.php?diff=41711257,41711257,1405517027,193.176.225.14,3249594638
1312848,Overleg gebruiker:Dqfn13,http://nl.wikipedia.org/w/index.php?diff=41711190,41711190,1405516170,193.177.183.210,3249649618
4029122,Wapen van Leek,http://nl.wikipedia.org/w/index.php?diff=41711173,41711173,1405515984,193.177.183.210,3249649618
3893901,Wapen van Hoogheemraadschap van de Alblasserwaard en de Vijfheerenlanden,http://nl.wikipedia.org/w/index.php?diff=41709516,41709516,1405497983,193.177.183.210,3249649618
3893901,Wapen van Hoogheemraadschap van de Alblasserwaard en de Vijfheerenlanden,http://nl.wikipedia.org/w/index.php?diff=41709440,41709440,1405497011,193.177.183.210,3249649618
4028602,Wapen van Groot Maas en Waal,http://nl.wikipedia.org/w/index.php?diff=41709404,41709404,1405496581,193.177.183.210,3249649618
205230,Wasmiddel,http://nl.wikipedia.org/w/index.php?diff=41705446,41705446,1405429295,193.177.183.210,3249649618
7470,Waterpokken,http://nl.wikipedia.org/w/index.php?diff=41705003,41705003,1405424605,131.224.251.101,2212559717
4028609,Kerri Chandler,http://nl.wikipedia.org/w/index.php?diff=41704493,41704493,1405418281,212.61.55.36,3560781604
173049,Kerkwijk,http://nl.wikipedia.org/w/index.php?diff=41704257,41704257,1405415937,193.177.183.210,3249649618
3795002,Wapen van Zaltbommel,http://nl.wikipedia.org/w/index.php?diff=41704245,41704245,1405415815,193.177.183.210,3249649618
1488937,Roze koek,http://nl.wikipedia.org/w/index.php?diff=41704224,41704224,1405415580,193.176.225.14,3249594638
4028602,Wapen van Groot Maas en Waal,http://nl.wikipedia.org/w/index.php?diff=41703881,41703881,1405411021,193.177.183.210,3249649618
3795002,Wapen van Zaltbommel,http://nl.wikipedia.org/w/index.php?diff=41703847,41703847,1405410512,193.177.183.210,3249649618
3795002,Wapen van Zaltbommel,http://nl.wikipedia.org/w/index.php?diff=41703844,41703844,1405410469,193.177.183.210,3249649618
4028602,Wapen van Groot Maas en Waal,http://nl.wikipedia.org/w/index.php?diff=41703831,41703831,1405410249,193.177.183.210,3249649618
4028602,Wapen van Groot Maas en Waal,http://nl.wikipedia.org/w/index.php?diff=41703828,41703828,1405410195,193.177.183.210,3249649618
4028602,Wapen van Groot Maas en Waal,http://nl.wikipedia.org/w/index.php?diff=41703823,41703823,1405410119,193.177.183.210,3249649618
4027361,BASIC Stamp,http://nl.wikipedia.org/w/index.php?diff=41699574,41699574,1405351050,193.177.183.210,3249649618
1096085,Android (besturingssysteem),http://nl.wikipedia.org/w/index.php?diff=41694874,41694874,1405324909,46.29.240.5,773713925
