page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
166103,David Hasselhoff,http://en.wikipedia.org/w/index.php?diff=615944864,615944864,1404738601,156.33.241.10,2619470090
4368634,Taiwanese people,http://en.wikipedia.org/w/index.php?diff=615432775,615432775,1404395506,143.231.249.141,2414344589
40400,James A. Garfield,http://en.wikipedia.org/w/index.php?diff=615324764,615324764,1404323779,143.231.249.141,2414344589
124796,"Weare, New Hampshire",http://en.wikipedia.org/w/index.php?diff=615318648,615318648,1404320587,156.33.241.5,2619470085
16949861,Mississippi,http://en.wikipedia.org/w/index.php?diff=615302641,615302641,1404312497,143.231.249.137,2414344585
16949861,Mississippi,http://en.wikipedia.org/w/index.php?diff=615302539,615302539,1404312444,143.231.249.137,2414344585
124766,"Lyndeborough, New Hampshire",http://en.wikipedia.org/w/index.php?diff=615296402,615296402,1404309414,156.33.241.5,2619470085
528159,Bo Xilai,http://en.wikipedia.org/w/index.php?diff=615295989,615295989,1404309197,143.231.249.141,2414344589
6509579,Karen Handel,http://en.wikipedia.org/w/index.php?diff=615288003,615288003,1404305379,143.231.249.137,2414344585
2712157,Jerry McNerney,http://en.wikipedia.org/w/index.php?diff=615210693,615210693,1404250397,143.231.249.138,2414344586
2712157,Jerry McNerney,http://en.wikipedia.org/w/index.php?diff=615210612,615210612,1404250357,143.231.249.138,2414344586
2712157,Jerry McNerney,http://en.wikipedia.org/w/index.php?diff=615210232,615210232,1404250179,143.231.249.138,2414344586
2712157,Jerry McNerney,http://en.wikipedia.org/w/index.php?diff=615199782,615199782,1404245115,143.231.249.138,2414344586
2138126,China Western Development,http://en.wikipedia.org/w/index.php?diff=615157407,615157407,1404223725,143.231.249.141,2414344589
3557109,Vicki Walker,http://en.wikipedia.org/w/index.php?diff=615079888,615079888,1404169260,143.231.249.137,2414344585
4978,Battle of Berestechko,http://en.wikipedia.org/w/index.php?diff=615055205,615055205,1404155484,143.231.249.141,2414344589
37780228,Xu Qinxian,http://en.wikipedia.org/w/index.php?diff=615030079,615030079,1404142721,143.231.249.141,2414344589
174141,Tanaka Giichi,http://en.wikipedia.org/w/index.php?diff=614642741,614642741,1403880891,143.231.249.141,2414344589
36206215,Zhang Zhijun,http://en.wikipedia.org/w/index.php?diff=614641371,614641371,1403880151,143.231.249.141,2414344589
521911,Treaty of Nerchinsk,http://en.wikipedia.org/w/index.php?diff=614631152,614631152,1403874339,143.231.249.141,2414344589
41877424,14 On Fire,http://en.wikipedia.org/w/index.php?diff=614555260,614555260,1403817478,156.33.241.7,2619470087
41877424,14 On Fire,http://en.wikipedia.org/w/index.php?diff=614555190,614555190,1403817435,156.33.241.7,2619470087
41877424,14 On Fire,http://en.wikipedia.org/w/index.php?diff=614555133,614555133,1403817400,156.33.241.7,2619470087
19978,Montana,http://en.wikipedia.org/w/index.php?diff=614374401,614374401,1403708839,143.231.249.141,2414344589
43088478,David Perdue,http://en.wikipedia.org/w/index.php?diff=614268222,614268222,1403639311,143.231.249.137,2414344585
7602378,Marcia (given name),http://en.wikipedia.org/w/index.php?diff=614265051,614265051,1403637572,143.231.249.141,2414344589
36691281,David Joyce (politician),http://en.wikipedia.org/w/index.php?diff=614146842,614146842,1403559095,143.231.249.138,2414344586
11910648,United States Senate Health Subcommittee on Employment and Workplace Safety,http://en.wikipedia.org/w/index.php?diff=614142329,614142329,1403556710,156.33.241.4,2619470084
11910648,United States Senate Health Subcommittee on Employment and Workplace Safety,http://en.wikipedia.org/w/index.php?diff=614142264,614142264,1403556672,156.33.241.4,2619470084
30875653,"Bob Casey, Jr.",http://en.wikipedia.org/w/index.php?diff=614142081,614142081,1403556560,156.33.241.4,2619470084
30875653,"Bob Casey, Jr.",http://en.wikipedia.org/w/index.php?diff=614141513,614141513,1403556271,156.33.241.4,2619470084
42711664,Pamela Harris,http://en.wikipedia.org/w/index.php?diff=614138993,614138993,1403554959,156.33.241.4,2619470084
4075310,Danny Heep,http://en.wikipedia.org/w/index.php?diff=614135072,614135072,1403552995,143.231.249.135,2414344583
4267172,Buffalo Public Schools,http://en.wikipedia.org/w/index.php?diff=614108226,614108226,1403539174,156.33.241.8,2619470088
5778616,.220 Swift,http://en.wikipedia.org/w/index.php?diff=614098422,614098422,1403534079,156.33.241.8,2619470088
4228818,Steve Scalise,http://en.wikipedia.org/w/index.php?diff=613602798,613602798,1403209459,143.231.249.137,2414344585
4228818,Steve Scalise,http://en.wikipedia.org/w/index.php?diff=613602736,613602736,1403209424,143.231.249.137,2414344585
2337119,Kevin McCarthy (California politician),http://en.wikipedia.org/w/index.php?diff=613602429,613602429,1403209246,143.231.249.137,2414344585
2337119,Kevin McCarthy (California politician),http://en.wikipedia.org/w/index.php?diff=613602110,613602110,1403209049,143.231.249.137,2414344585
2337119,Kevin McCarthy (California politician),http://en.wikipedia.org/w/index.php?diff=613601990,613601990,1403208983,143.231.249.137,2414344585
2337119,Kevin McCarthy (California politician),http://en.wikipedia.org/w/index.php?diff=613601921,613601921,1403208946,143.231.249.137,2414344585
411726,Jack Kingston,http://en.wikipedia.org/w/index.php?diff=613601756,613601756,1403208854,143.231.249.137,2414344585
4228818,Steve Scalise,http://en.wikipedia.org/w/index.php?diff=613601363,613601363,1403208649,143.231.249.137,2414344585
4228818,Steve Scalise,http://en.wikipedia.org/w/index.php?diff=613601262,613601262,1403208588,143.231.249.137,2414344585
4228818,Steve Scalise,http://en.wikipedia.org/w/index.php?diff=613601186,613601186,1403208540,143.231.249.137,2414344585
