id,title,diff_url,revision_id,timestamp,contributor_ip
9796135,Cecilia Wikström,http://en.wikipedia.org/w/index.php?diff=340727051,340727051,1264777958,136.173.162.144
4628067,Climate of Vancouver,http://en.wikipedia.org/w/index.php?diff=340327762,340327762,1264598798,91.194.202.5
4628067,Climate of Vancouver,http://en.wikipedia.org/w/index.php?diff=340327666,340327666,1264598757,91.194.202.5
723846,Roger Helmer,http://en.wikipedia.org/w/index.php?diff=340327576,340327576,1264598717,136.173.162.144
764167,President of the European Parliament,http://en.wikipedia.org/w/index.php?diff=340322237,340322237,1264595766,91.194.202.5
764167,President of the European Parliament,http://en.wikipedia.org/w/index.php?diff=340321548,340321548,1264595393,91.194.202.5
591748,Michael Cashman,http://en.wikipedia.org/w/index.php?diff=340130148,340130148,1264513261,136.173.162.144
1906015,Electoral Action of Poles in Lithuania,http://en.wikipedia.org/w/index.php?diff=340106438,340106438,1264500202,136.173.162.144
1906015,Electoral Action of Poles in Lithuania,http://en.wikipedia.org/w/index.php?diff=340106388,340106388,1264500161,136.173.162.144
1906015,Electoral Action of Poles in Lithuania,http://en.wikipedia.org/w/index.php?diff=340106140,340106140,1264500012,136.173.162.144
1906015,Electoral Action of Poles in Lithuania,http://en.wikipedia.org/w/index.php?diff=340106030,340106030,1264499950,136.173.162.144
723846,Roger Helmer,http://en.wikipedia.org/w/index.php?diff=339948249,339948249,1264437205,136.173.162.144
723846,Roger Helmer,http://en.wikipedia.org/w/index.php?diff=339947601,339947601,1264437008,136.173.162.144
1095335,Jim Higgins (Irish politician),http://en.wikipedia.org/w/index.php?diff=339904619,339904619,1264417782,136.173.162.144
1095335,Jim Higgins (Irish politician),http://en.wikipedia.org/w/index.php?diff=339350293,339350293,1264171576,136.173.162.144
1095335,Jim Higgins (Irish politician),http://en.wikipedia.org/w/index.php?diff=339343126,339343126,1264168377,136.173.162.144
1095335,Jim Higgins (Irish politician),http://en.wikipedia.org/w/index.php?diff=339342747,339342747,1264168201,136.173.162.144
1260018,Rotunda of Mosta,http://en.wikipedia.org/w/index.php?diff=339314224,339314224,1264149507,136.173.62.145
1906015,Electoral Action of Poles in Lithuania,http://en.wikipedia.org/w/index.php?diff=339170808,339170808,1264091205,136.173.162.144
103164,Jedwabne pogrom,http://en.wikipedia.org/w/index.php?diff=339158658,339158658,1264086279,136.173.62.129
103164,Jedwabne pogrom,http://en.wikipedia.org/w/index.php?diff=339154842,339154842,1264084529,136.173.62.129
366705,List of Maltese people,http://en.wikipedia.org/w/index.php?diff=339127397,339127397,1264069255,136.173.62.145
735823,Jerzy Buzek,http://en.wikipedia.org/w/index.php?diff=339127116,339127116,1264069116,136.173.62.129
14806511,Lorenzo Gafà,http://en.wikipedia.org/w/index.php?diff=339126296,339126296,1264068623,136.173.62.145
16283969,Wikipedia:Sandbox,http://en.wikipedia.org/w/index.php?diff=338950395,338950395,1263994743,136.173.62.145
1690410,Template:X2,http://en.wikipedia.org/w/index.php?diff=338948847,338948847,1263994053,136.173.162.144
723614,Richard Corbett,http://en.wikipedia.org/w/index.php?diff=338945831,338945831,1263992330,136.173.162.129
1401406,Lojze Peterle,http://en.wikipedia.org/w/index.php?diff=338756608,338756608,1263911050,136.173.162.144
1860204,Centre-right,http://en.wikipedia.org/w/index.php?diff=338732758,338732758,1263898635,136.173.62.145
723780,Graham Watson,http://en.wikipedia.org/w/index.php?diff=338709971,338709971,1263884602,136.173.162.144
348179,List of most common surnames,http://en.wikipedia.org/w/index.php?diff=338524858,338524858,1263805888,91.194.202.5
348179,List of most common surnames,http://en.wikipedia.org/w/index.php?diff=338524770,338524770,1263805850,91.194.202.5
6891990,Duplicity (software),http://en.wikipedia.org/w/index.php?diff=337988382,337988382,1263560054,91.194.202.5
15117222,Rumiana Jeleva,http://en.wikipedia.org/w/index.php?diff=337975664,337975664,1263552722,136.173.162.129
782741,Hizb ut-Tahrir,http://en.wikipedia.org/w/index.php?diff=336405742,336405742,1262876383,91.194.202.5
