article_id,title,diff_url,revision_id,ts,timestamp,contributor_ip
2572808,Garrison Kane,http://en.wikipedia.org/w/index.php?diff=341307680,341307680,1.265046276E9,1265046276,199.212.215.11
484675,Irene Mathyssen,http://en.wikipedia.org/w/index.php?diff=341304424,341304424,1.265045089E9,1265045089,192.197.82.205
484675,Irene Mathyssen,http://en.wikipedia.org/w/index.php?diff=341302358,341302358,1.265044352E9,1265044352,192.197.82.155
484675,Irene Mathyssen,http://en.wikipedia.org/w/index.php?diff=341301980,341301980,1.265044217E9,1265044217,192.197.82.155
484675,Irene Mathyssen,http://en.wikipedia.org/w/index.php?diff=341301627,341301627,1.265044106E9,1265044106,192.197.82.155
23672032,List of Aqua Teen Hunger Force characters,http://en.wikipedia.org/w/index.php?diff=341183218,341183218,1.264983851E9,1264983851,131.137.245.206
23672032,List of Aqua Teen Hunger Force characters,http://en.wikipedia.org/w/index.php?diff=341183085,341183085,1.264983814E9,1264983814,131.137.245.207
7427451,Greg Malone (ice hockey),http://en.wikipedia.org/w/index.php?diff=341127692,341127692,1.264964183E9,1264964183,131.137.245.207
1570534,Chinese finger trap,http://en.wikipedia.org/w/index.php?diff=340837458,340837458,1.264822412E9,1264822412,131.137.245.206
21055029,Rachel Homan,http://en.wikipedia.org/w/index.php?diff=340786733,340786733,1.264800174E9,1264800174,192.197.82.153
4224672,Canadian Military Engineers,http://en.wikipedia.org/w/index.php?diff=340777252,340777252,1.264796503E9,1264796503,131.137.245.206
4224672,Canadian Military Engineers,http://en.wikipedia.org/w/index.php?diff=340777000,340777000,1.264796411E9,1264796411,131.137.245.207
4224672,Canadian Military Engineers,http://en.wikipedia.org/w/index.php?diff=340776923,340776923,1.264796385E9,1264796385,131.137.245.207
4224672,Canadian Military Engineers,http://en.wikipedia.org/w/index.php?diff=340776121,340776121,1.264796059E9,1264796059,131.137.245.207
294054,The Honourable,http://en.wikipedia.org/w/index.php?diff=340755748,340755748,1.264788753E9,1264788753,192.197.82.153
2233634,Fast Infoset,http://en.wikipedia.org/w/index.php?diff=340714537,340714537,1.264772556E9,1264772556,132.156.112.75
659802,Private,http://en.wikipedia.org/w/index.php?diff=340589397,340589397,1.264711418E9,1264711418,199.212.215.11
49260,Willy Brandt,http://en.wikipedia.org/w/index.php?diff=340568446,340568446,1.264703905E9,1264703905,131.137.245.206
24077774,Fred St-Gelais,http://en.wikipedia.org/w/index.php?diff=340549314,340549314,1.264696796E9,1264696796,131.137.245.208
210476,SIM lock,http://en.wikipedia.org/w/index.php?diff=340530084,340530084,1.264689433E9,1264689433,192.197.82.153
1778218,Garrison cap,http://en.wikipedia.org/w/index.php?diff=340452696,340452696,1.26464501E9,1264645010,131.137.90.168
27199,History of Saint Kitts and Nevis,http://en.wikipedia.org/w/index.php?diff=340419210,340419210,1.264631834E9,1264631834,132.156.109.72
2632617,Mikhail Ryabko,http://en.wikipedia.org/w/index.php?diff=340406181,340406181,1.264627623E9,1264627623,199.212.215.11
418512,Mullet (haircut),http://en.wikipedia.org/w/index.php?diff=340369132,340369132,1.264614935E9,1264614935,142.78.8.4
2775544,HMS Graph (P715),http://en.wikipedia.org/w/index.php?diff=340361382,340361382,1.264612165E9,1264612165,131.137.245.206
418512,Mullet (haircut),http://en.wikipedia.org/w/index.php?diff=340360713,340360713,1.264611895E9,1264611895,142.78.8.4
11316211,Dance radio,http://en.wikipedia.org/w/index.php?diff=340343660,340343660,1.264605774E9,1264605774,192.197.82.153
11316211,Dance radio,http://en.wikipedia.org/w/index.php?diff=340343289,340343289,1.264605629E9,1264605629,192.197.82.153
4315979,Tunney's Pasture,http://en.wikipedia.org/w/index.php?diff=340327445,340327445,1.264598671E9,1264598671,131.137.245.207
16832732,Talk:Strike and dip,http://en.wikipedia.org/w/index.php?diff=340215086,340215086,1.264543015E9,1264543015,132.156.40.110
3730330,User talk:Flyguy649,http://en.wikipedia.org/w/index.php?diff=340181695,340181695,1.264532522E9,1264532522,131.137.13.27
3730330,User talk:Flyguy649,http://en.wikipedia.org/w/index.php?diff=340181631,340181631,1.264532502E9,1264532502,131.137.13.27
265799,Scientology beliefs and practices,http://en.wikipedia.org/w/index.php?diff=340150145,340150145,1.264521465E9,1264521465,131.137.245.206
265799,Scientology beliefs and practices,http://en.wikipedia.org/w/index.php?diff=340149436,340149436,1.264521228E9,1264521228,131.137.245.208
594891,Michaëlle Jean,http://en.wikipedia.org/w/index.php?diff=340024202,340024202,1.264461834E9,1264461834,131.137.245.206
1133541,Nuclear football,http://en.wikipedia.org/w/index.php?diff=339994156,339994156,1.26445279E9,1264452790,131.137.245.206
1133541,Nuclear football,http://en.wikipedia.org/w/index.php?diff=339994071,339994071,1.264452761E9,1264452761,131.137.245.206
21247924,Help I'm Alive,http://en.wikipedia.org/w/index.php?diff=339957881,339957881,1.264440585E9,1264440585,131.137.245.206
21247924,Help I'm Alive,http://en.wikipedia.org/w/index.php?diff=339956482,339956482,1.264440072E9,1264440072,131.137.245.208
23150198,Gimme Sympathy,http://en.wikipedia.org/w/index.php?diff=339955388,339955388,1.264439674E9,1264439674,131.137.245.208
441175,Tony Clement,http://en.wikipedia.org/w/index.php?diff=339941663,339941663,1.264435093E9,1264435093,192.197.82.153
441175,Tony Clement,http://en.wikipedia.org/w/index.php?diff=339941291,339941291,1.264434968E9,1264434968,192.197.82.153
1703420,Adam Dollard des Ormeaux,http://en.wikipedia.org/w/index.php?diff=339922921,339922921,1.264427749E9,1264427749,131.137.245.207
73903,"North Bay, Ontario",http://en.wikipedia.org/w/index.php?diff=339916486,339916486,1.264424833E9,1264424833,131.137.245.207
73903,"North Bay, Ontario",http://en.wikipedia.org/w/index.php?diff=339916371,339916371,1.264424757E9,1264424757,131.137.245.207
25365816,Transformers: War for Cybertron,http://en.wikipedia.org/w/index.php?diff=339703795,339703795,1.26433027E9,1264330270,131.137.245.208
1278065,Jacmel,http://en.wikipedia.org/w/index.php?diff=339545228,339545228,1.264260978E9,1264260978,131.137.245.208
1278065,Jacmel,http://en.wikipedia.org/w/index.php?diff=339538914,339538914,1.264258136E9,1264258136,131.137.245.206
14659362,Jacmel Airport,http://en.wikipedia.org/w/index.php?diff=339538228,339538228,1.264257849E9,1264257849,131.137.245.208
