page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
530856,Talk:Argentavis,http://en.wikipedia.org/w/index.php?diff=616004539,616004539,1404769875,205.211.133.128,3453191552
36946133,Thanh Hai Ngo,http://en.wikipedia.org/w/index.php?diff=615983173,615983173,1404758843,192.197.82.153,3234157209
55116,Dubrovnik,http://en.wikipedia.org/w/index.php?diff=615968185,615968185,1404751082,192.197.178.2,3234181634
37512597,Strandherd-Armstrong Bridge,http://en.wikipedia.org/w/index.php?diff=615959339,615959339,1404746619,142.206.2.14,2395865614
12824609,ATP World Tour records,http://en.wikipedia.org/w/index.php?diff=615942611,615942611,1404737114,131.136.242.1,2206790145
50963,List of national independence days,http://en.wikipedia.org/w/index.php?diff=615864379,615864379,1404679441,131.137.245.207,2206856655
18010483,Curriculum vitae,http://en.wikipedia.org/w/index.php?diff=615616775,615616775,1404505514,192.197.82.205,3234157261
100224,Stefan Zweig,http://en.wikipedia.org/w/index.php?diff=615606619,615606619,1404499565,192.197.178.2,3234181634
43029598,Afzal Upal,http://en.wikipedia.org/w/index.php?diff=615599354,615599354,1404495167,131.136.242.1,2206790145
14085792,Cognitive science of religion,http://en.wikipedia.org/w/index.php?diff=615599293,615599293,1404495134,131.136.242.1,2206790145
43029598,Afzal Upal,http://en.wikipedia.org/w/index.php?diff=615599015,615599015,1404494971,131.136.242.1,2206790145
31676854,Joyce Bateman,http://en.wikipedia.org/w/index.php?diff=615596111,615596111,1404493324,192.197.82.155,3234157211
31676854,Joyce Bateman,http://en.wikipedia.org/w/index.php?diff=615595861,615595861,1404493198,192.197.82.155,3234157211
31676854,Joyce Bateman,http://en.wikipedia.org/w/index.php?diff=615595433,615595433,1404492954,192.197.82.155,3234157211
31676854,Joyce Bateman,http://en.wikipedia.org/w/index.php?diff=615595278,615595278,1404492877,192.197.82.155,3234157211
42305581,Template:Taxonomy/Raphus,http://en.wikipedia.org/w/index.php?diff=615586967,615586967,1404487901,142.206.2.14,2395865614
11774737,CBM-CFS3,http://en.wikipedia.org/w/index.php?diff=615476693,615476693,1404417065,192.139.7.41,3230336809
23065621,David Frost (sports agent),http://en.wikipedia.org/w/index.php?diff=615458035,615458035,1404407835,131.137.245.209,2206856657
100727,Quebec City,http://en.wikipedia.org/w/index.php?diff=615445072,615445072,1404401642,131.137.149.2,2206831874
31682149,Robert Goguen,http://en.wikipedia.org/w/index.php?diff=615445023,615445023,1404401617,192.197.82.153,3234157209
36835081,Première Ligue de soccer du Québec,http://en.wikipedia.org/w/index.php?diff=615444991,615444991,1404401599,131.137.245.207,2206856655
31682149,Robert Goguen,http://en.wikipedia.org/w/index.php?diff=615443065,615443065,1404400646,192.197.82.153,3234157209
31682149,Robert Goguen,http://en.wikipedia.org/w/index.php?diff=615442641,615442641,1404400456,192.197.82.153,3234157209
31682149,Robert Goguen,http://en.wikipedia.org/w/index.php?diff=615442080,615442080,1404400205,192.197.82.153,3234157209
746584,USL Premier Development League,http://en.wikipedia.org/w/index.php?diff=615430293,615430293,1404394265,131.137.245.206,2206856654
8803473,Canadian soccer league system,http://en.wikipedia.org/w/index.php?diff=615430082,615430082,1404394179,131.137.245.209,2206856657
8803473,Canadian soccer league system,http://en.wikipedia.org/w/index.php?diff=615429765,615429765,1404394031,131.137.245.207,2206856655
42897292,Draft:White spruce (Picea glauca) Phylogeny and Biosystematics,http://en.wikipedia.org/w/index.php?diff=615423113,615423113,1404390589,132.156.202.52,2224867892
557268,STS-111,http://en.wikipedia.org/w/index.php?diff=615339841,615339841,1404331438,142.74.1.3,2387214595
43118579,The Minimal Counterintuitiveness Effect,http://en.wikipedia.org/w/index.php?diff=615328162,615328162,1404325481,131.136.242.1,2206790145
43029598,Afzal Upal,http://en.wikipedia.org/w/index.php?diff=615327682,615327682,1404325233,131.136.242.1,2206790145
