page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
19272041,Uranus (mythology),http://en.wikipedia.org/w/index.php?diff=615408811,615408811,1404381714,147.237.70.61,2481800765
12104105,Empty Garden (Hey Hey Johnny),http://en.wikipedia.org/w/index.php?diff=615111408,615111408,1404190969,147.236.138.213,2481752789
42952212,Mordechai Zaken,http://en.wikipedia.org/w/index.php?diff=614265041,614265041,1403637568,147.237.70.61,2481800765
42952212,Mordechai Zaken,http://en.wikipedia.org/w/index.php?diff=614264705,614264705,1403637388,147.237.70.61,2481800765
32497460,Enner Valencia,http://en.wikipedia.org/w/index.php?diff=614257160,614257160,1403633490,192.115.177.220,3228807644
42952212,Mordechai Zaken,http://en.wikipedia.org/w/index.php?diff=614202369,614202369,1403599022,147.237.70.108,2481800812
2364798,1970 FIFA World Cup qualification,http://en.wikipedia.org/w/index.php?diff=614078839,614078839,1403522005,138.134.192.10,2324086794
42952212,Mordechai Zaken,http://en.wikipedia.org/w/index.php?diff=614071440,614071440,1403517484,147.237.70.62,2481800766
42952212,Mordechai Zaken,http://en.wikipedia.org/w/index.php?diff=614070263,614070263,1403516702,147.237.70.62,2481800766
42952212,Mordechai Zaken,http://en.wikipedia.org/w/index.php?diff=614070147,614070147,1403516622,147.237.70.62,2481800766
42952212,Mordechai Zaken,http://en.wikipedia.org/w/index.php?diff=614070026,614070026,1403516546,147.237.70.62,2481800766
881148,Monel,http://en.wikipedia.org/w/index.php?diff=613138084,613138084,1402922982,138.134.102.15,2324063759
881148,Monel,http://en.wikipedia.org/w/index.php?diff=613137785,613137785,1402922810,138.134.102.15,2324063759
881148,Monel,http://en.wikipedia.org/w/index.php?diff=613136780,613136780,1402922184,138.134.102.15,2324063759
917917,Fundraising,http://en.wikipedia.org/w/index.php?diff=612635506,612635506,1402581500,192.115.90.82,3228785234
27104821,Category:Films shot in Israel,http://en.wikipedia.org/w/index.php?diff=612487712,612487712,1402487923,195.200.205.133,3284716933
6699387,Israel–South Africa relations,http://en.wikipedia.org/w/index.php?diff=612205554,612205554,1402316689,147.237.73.201,2481801673
6699387,Israel–South Africa relations,http://en.wikipedia.org/w/index.php?diff=610624150,610624150,1401361371,147.237.73.201,2481801673
6699387,Israel–South Africa relations,http://en.wikipedia.org/w/index.php?diff=610624048,610624048,1401361314,147.237.73.201,2481801673
511201,Russification,http://en.wikipedia.org/w/index.php?diff=610492486,610492486,1401284003,147.237.248.2,2481846274
8002934,Tumbalalaika,http://en.wikipedia.org/w/index.php?diff=609663690,609663690,1400761887,147.237.70.62,2481800766
402758,Renga,http://en.wikipedia.org/w/index.php?diff=609360473,609360473,1400578600,147.237.70.61,2481800765
530013,Personal grooming,http://en.wikipedia.org/w/index.php?diff=608669868,608669868,1400149510,147.237.70.108,2481800812
530013,Personal grooming,http://en.wikipedia.org/w/index.php?diff=608669830,608669830,1400149469,147.237.70.108,2481800812
5834903,Hapoel Be'er Sheva F.C.,http://en.wikipedia.org/w/index.php?diff=608038199,608038199,1399807208,147.237.70.61,2481800765
