page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
26332,Rural flight,http://en.wikipedia.org/w/index.php?diff=611380563,611380563,1401803369,164.144.252.26,2760965146
4196258,KPNT,http://en.wikipedia.org/w/index.php?diff=610802176,610802176,1401463591,164.144.252.26,2760965146
38588275,Audien,http://en.wikipedia.org/w/index.php?diff=609854766,609854766,1400875378,164.144.248.26,2760964122
1501800,Destructive distillation,http://en.wikipedia.org/w/index.php?diff=609713411,609713411,1400788230,164.144.252.26,2760965146
19582,May 7,http://en.wikipedia.org/w/index.php?diff=607628863,607628863,1399556519,164.144.252.26,2760965146
42676512,Wikipedia talk:Articles for creation/Anusha Sundarrajan,http://en.wikipedia.org/w/index.php?diff=607533108,607533108,1399494963,164.144.248.26,2760964122
42676512,Wikipedia talk:Articles for creation/Anusha Sundarrajan,http://en.wikipedia.org/w/index.php?diff=607533023,607533023,1399494917,164.144.248.26,2760964122
71419,Talk:Non-Hodgkin lymphoma,http://en.wikipedia.org/w/index.php?diff=607202488,607202488,1399307837,164.144.248.26,2760964122
2950076,Carnival Sunshine,http://en.wikipedia.org/w/index.php?diff=606472651,606472651,1398864128,164.144.248.26,2760964122
7736330,Stratford University,http://en.wikipedia.org/w/index.php?diff=605615023,605615023,1398351779,164.144.248.26,2760964122
164634,Pune,http://en.wikipedia.org/w/index.php?diff=604775534,604775534,1397846400,164.144.248.26,2760964122
6517,Clutch,http://en.wikipedia.org/w/index.php?diff=604730980,604730980,1397825689,164.144.248.26,2760964122
6517,Clutch,http://en.wikipedia.org/w/index.php?diff=604730929,604730929,1397825660,164.144.248.26,2760964122
6517,Clutch,http://en.wikipedia.org/w/index.php?diff=604730744,604730744,1397825536,164.144.248.26,2760964122
7736330,Stratford University,http://en.wikipedia.org/w/index.php?diff=604475386,604475386,1397669435,164.144.248.26,2760964122
37629473,The Superior Spider-Man,http://en.wikipedia.org/w/index.php?diff=603320485,603320485,1396973669,164.144.248.26,2760964122
216260,Horticulture,http://en.wikipedia.org/w/index.php?diff=600330830,600330830,1395249361,164.144.252.26,2760965146
1061886,Sullivan University,http://en.wikipedia.org/w/index.php?diff=600168907,600168907,1395156480,164.144.248.26,2760964122
1061886,Sullivan University,http://en.wikipedia.org/w/index.php?diff=600168443,600168443,1395156297,164.144.248.26,2760964122
7736330,Stratford University,http://en.wikipedia.org/w/index.php?diff=600168157,600168157,1395156173,164.144.248.26,2760964122
1007764,Paco de Lucía,http://en.wikipedia.org/w/index.php?diff=597200135,597200135,1393406257,164.144.248.26,2760964122
112363,"Rensselaer, Indiana",http://en.wikipedia.org/w/index.php?diff=593274721,593274721,1391175534,164.144.248.26,2760964122
3587631,Alex Beaton,http://en.wikipedia.org/w/index.php?diff=591763630,591763630,1390335608,164.144.248.26,2760964122
