page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
12736027,NATO Programming Centre,http://en.wikipedia.org/w/index.php?diff=615431492,615431492,1404394851,192.41.140.2,3223948290
6530379,Santorso,http://en.wikipedia.org/w/index.php?diff=615421203,615421203,1404389613,192.101.252.103,3227909223
931406,Royal Canadian Air Force,http://en.wikipedia.org/w/index.php?diff=614337606,614337606,1403685917,192.101.252.103,3227909223
1434085,R.A.E.C. Mons,http://en.wikipedia.org/w/index.php?diff=611688535,611688535,1401980252,192.101.252.103,3227909223
1863232,Dachau trials,http://en.wikipedia.org/w/index.php?diff=611680085,611680085,1401975856,192.101.252.103,3227909223
41728468,NCIA,http://en.wikipedia.org/w/index.php?diff=611365820,611365820,1401794045,192.41.140.2,3223948290
41728469,Talk:NCIA,http://en.wikipedia.org/w/index.php?diff=611365789,611365789,1401794022,192.41.140.2,3223948290
44705,House of Bourbon,http://en.wikipedia.org/w/index.php?diff=611221123,611221123,1401710529,192.41.140.2,3223948290
44705,House of Bourbon,http://en.wikipedia.org/w/index.php?diff=611220730,611220730,1401710263,192.41.140.2,3223948290
44705,House of Bourbon,http://en.wikipedia.org/w/index.php?diff=611220529,611220529,1401710126,192.41.140.2,3223948290
44705,House of Bourbon,http://en.wikipedia.org/w/index.php?diff=611220325,611220325,1401710001,192.41.140.2,3223948290
1823005,Template:Ranks and Insignia of NATO Armies/OR/Romania,http://en.wikipedia.org/w/index.php?diff=608960929,608960929,1400334775,192.101.252.103,3227909223
3143691,"NATO Consultation, Command and Control Agency",http://en.wikipedia.org/w/index.php?diff=607781018,607781018,1399646582,192.41.140.2,3223948290
5576823,Michael Bisping,http://en.wikipedia.org/w/index.php?diff=605557923,605557923,1398312421,193.110.130.103,3245245031
7761928,Tony Brown (record producer),http://en.wikipedia.org/w/index.php?diff=605557793,605557793,1398312298,193.110.130.103,3245245031
15472369,VirusTotal,http://en.wikipedia.org/w/index.php?diff=605468896,605468896,1398267739,192.101.252.246,3227909366
43780,Veneto,http://en.wikipedia.org/w/index.php?diff=601210126,601210126,1395763655,193.110.130.103,3245245031
1464132,Regulatory compliance,http://en.wikipedia.org/w/index.php?diff=599997656,599997656,1395057787,192.41.140.2,3223948290
6987871,"Governance, risk management, and compliance",http://en.wikipedia.org/w/index.php?diff=599997546,599997546,1395057720,192.41.140.2,3223948290
22591,Oracle Corporation,http://en.wikipedia.org/w/index.php?diff=596671615,596671615,1393098244,193.110.130.103,3245245031
1137703,1993 Formula One season,http://en.wikipedia.org/w/index.php?diff=596358018,596358018,1392914321,193.110.130.103,3245245031
32376362,OttoQL,http://en.wikipedia.org/w/index.php?diff=596027157,596027157,1392731696,192.41.140.2,3223948290
7056220,Talk:Asa Griggs Candler,http://en.wikipedia.org/w/index.php?diff=596026171,596026171,1392731166,193.110.130.103,3245245031
168394,Styrene,http://en.wikipedia.org/w/index.php?diff=595879525,595879525,1392647711,193.110.130.103,3245245031
16465535,Health in Afghanistan,http://en.wikipedia.org/w/index.php?diff=594961033,594961033,1392116385,192.101.252.103,3227909223
16465445,Health in Haiti,http://en.wikipedia.org/w/index.php?diff=594960801,594960801,1392116192,192.101.252.103,3227909223
174266,Demographics of Kosovo,http://en.wikipedia.org/w/index.php?diff=594960281,594960281,1392115819,192.101.252.103,3227909223
16465535,Health in Afghanistan,http://en.wikipedia.org/w/index.php?diff=594953659,594953659,1392110501,192.101.252.103,3227909223
16540256,Health in Libya,http://en.wikipedia.org/w/index.php?diff=594851036,594851036,1392052676,192.101.252.103,3227909223
28676566,Rank insignias of the German Bundeswehr,http://en.wikipedia.org/w/index.php?diff=594118421,594118421,1391642157,193.110.130.103,3245245031
5366700,Cavalry scout,http://en.wikipedia.org/w/index.php?diff=594013064,594013064,1391584942,192.101.252.103,3227909223
5366700,Cavalry scout,http://en.wikipedia.org/w/index.php?diff=594012704,594012704,1391584650,192.101.252.103,3227909223
1858944,United States Air Force Security Forces,http://en.wikipedia.org/w/index.php?diff=592795935,592795935,1390918358,192.101.252.103,3227909223
4780628,Change management (engineering),http://en.wikipedia.org/w/index.php?diff=589941671,589941671,1389285693,192.41.140.2,3223948290
3267841,Configuration management database,http://en.wikipedia.org/w/index.php?diff=589941186,589941186,1389285462,192.41.140.2,3223948290
170061,List of heavy metal bands,http://en.wikipedia.org/w/index.php?diff=587618558,587618558,1387967464,192.101.252.103,3227909223
170061,List of heavy metal bands,http://en.wikipedia.org/w/index.php?diff=587618446,587618446,1387967344,192.101.252.103,3227909223
170061,List of heavy metal bands,http://en.wikipedia.org/w/index.php?diff=587618409,587618409,1387967298,192.101.252.103,3227909223
170061,List of heavy metal bands,http://en.wikipedia.org/w/index.php?diff=587618338,587618338,1387967206,192.101.252.103,3227909223
30128660,Satoshi Nakamoto,http://en.wikipedia.org/w/index.php?diff=586797712,586797712,1387465957,193.110.130.103,3245245031
1468306,"Nord, Greenland",http://en.wikipedia.org/w/index.php?diff=586445632,586445632,1387255121,193.110.130.103,3245245031
1102279,Robert Earnshaw,http://en.wikipedia.org/w/index.php?diff=583666778,583666778,1385648308,193.110.130.103,3245245031
17504707,Gordon Messenger,http://en.wikipedia.org/w/index.php?diff=583357396,583357396,1385453721,192.101.252.103,3227909223
17504707,Gordon Messenger,http://en.wikipedia.org/w/index.php?diff=582653193,582653193,1385029883,192.101.252.103,3227909223
17504707,Gordon Messenger,http://en.wikipedia.org/w/index.php?diff=582653094,582653094,1385029781,192.101.252.103,3227909223
17504707,Gordon Messenger,http://en.wikipedia.org/w/index.php?diff=582652330,582652330,1385029139,192.101.252.103,3227909223
17504707,Gordon Messenger,http://en.wikipedia.org/w/index.php?diff=582652311,582652311,1385029124,192.101.252.103,3227909223
17504707,Gordon Messenger,http://en.wikipedia.org/w/index.php?diff=582652235,582652235,1385029070,192.101.252.103,3227909223
17504707,Gordon Messenger,http://en.wikipedia.org/w/index.php?diff=582652173,582652173,1385029022,192.101.252.103,3227909223
44760,Confectionery,http://en.wikipedia.org/w/index.php?diff=582147082,582147082,1384744596,193.110.130.103,3245245031
5989312,Robinsons (drink),http://en.wikipedia.org/w/index.php?diff=582146997,582146997,1384744533,193.110.130.103,3245245031
78781,Michael Douglas,http://en.wikipedia.org/w/index.php?diff=581973950,581973950,1384641801,193.110.130.103,3245245031
30372228,Jared Lee Loughner,http://en.wikipedia.org/w/index.php?diff=581164198,581164198,1384164967,192.41.140.2,3223948290
18353,Lundy,http://en.wikipedia.org/w/index.php?diff=579073446,579073446,1382948329,193.110.130.103,3245245031
17504707,Gordon Messenger,http://en.wikipedia.org/w/index.php?diff=578659147,578659147,1382685414,192.101.252.103,3227909223
17504707,Gordon Messenger,http://en.wikipedia.org/w/index.php?diff=578658731,578658731,1382685083,192.101.252.103,3227909223
17504707,Gordon Messenger,http://en.wikipedia.org/w/index.php?diff=578658156,578658156,1382684572,192.101.252.103,3227909223
1035953,Jim Gordon (musician),http://en.wikipedia.org/w/index.php?diff=578544061,578544061,1382620003,193.110.130.103,3245245031
5388215,Ossi,http://en.wikipedia.org/w/index.php?diff=577247107,577247107,1381823873,192.41.140.2,3223948290
24891104,Affordable Health Care for America Act,http://en.wikipedia.org/w/index.php?diff=576716658,576716658,1381496537,193.110.130.103,3245245031
2862367,Helen Flanagan,http://en.wikipedia.org/w/index.php?diff=574852821,574852821,1380362522,192.101.252.103,3227909223
25018507,Alex Reid (fighter),http://en.wikipedia.org/w/index.php?diff=574852547,574852547,1380362348,192.101.252.103,3227909223
2009175,Phil Spencer,http://en.wikipedia.org/w/index.php?diff=574852192,574852192,1380362062,192.101.252.103,3227909223
37124776,Rylan Clark,http://en.wikipedia.org/w/index.php?diff=574851857,574851857,1380361796,192.101.252.103,3227909223
10887170,43rd Sustainment Brigade,http://en.wikipedia.org/w/index.php?diff=574570825,574570825,1380179941,192.101.252.103,3227909223
1022639,Military Outstanding Volunteer Service Medal,http://en.wikipedia.org/w/index.php?diff=574446841,574446841,1380107749,192.101.252.103,3227909223
167097,OK,http://en.wikipedia.org/w/index.php?diff=574320028,574320028,1380029410,193.110.130.103,3245245031
