article_id,title,diff_url,revision_id,ts,timestamp,contributor_ip
3493545,Victoria Azarenka,http://en.wikipedia.org/w/index.php?diff=339924015,339924015,1.264428194E9,1264428194,151.96.3.242
3493545,Victoria Azarenka,http://en.wikipedia.org/w/index.php?diff=339923878,339923878,1.264428136E9,1264428136,151.96.3.242
4523002,Hana no Ko Lunlun,http://en.wikipedia.org/w/index.php?diff=338222830,338222830,1.263668667E9,1263668667,91.203.86.160
20502347,2008–2009 Zimbabwean cholera outbreak,http://en.wikipedia.org/w/index.php?diff=337975478,337975478,1.263552584E9,1263552584,151.96.3.241
6732625,Statoil operations by country,http://en.wikipedia.org/w/index.php?diff=337585585,337585585,1.263386932E9,1263386932,143.97.2.35
898390,Helge Lund,http://en.wikipedia.org/w/index.php?diff=337585384,337585384,1.263386826E9,1263386826,143.97.2.35
7984166,Characters in Pondus,http://en.wikipedia.org/w/index.php?diff=336161447,336161447,1.262763444E9,1262763444,143.97.2.35
755363,Ion Mihai Pacepa,http://en.wikipedia.org/w/index.php?diff=336000128,336000128,1.262700605E9,1262700605,143.97.2.35
13395209,Delhi Mumbai Industrial Corridor Project,http://en.wikipedia.org/w/index.php?diff=334708363,334708363,1.262084547E9,1262084547,143.97.2.35
13395209,Delhi Mumbai Industrial Corridor Project,http://en.wikipedia.org/w/index.php?diff=334708109,334708109,1.262084395E9,1262084395,143.97.2.35
13395209,Delhi Mumbai Industrial Corridor Project,http://en.wikipedia.org/w/index.php?diff=334708021,334708021,1.262084335E9,1262084335,143.97.2.35
30890,Time zone,http://en.wikipedia.org/w/index.php?diff=333268220,333268220,1.261492624E9,1261492624,143.97.2.35
30890,Time zone,http://en.wikipedia.org/w/index.php?diff=333268011,333268011,1.261492556E9,1261492556,143.97.2.35
49164,Talk:Silvio Berlusconi,http://en.wikipedia.org/w/index.php?diff=332241641,332241641,1.261036265E9,1261036265,151.96.3.242
49164,Talk:Silvio Berlusconi,http://en.wikipedia.org/w/index.php?diff=332241293,332241293,1.261036167E9,1261036167,151.96.3.242
49164,Talk:Silvio Berlusconi,http://en.wikipedia.org/w/index.php?diff=332241209,332241209,1.261036141E9,1261036141,151.96.3.242
6732625,Statoil operations by country,http://en.wikipedia.org/w/index.php?diff=332023443,332023443,1.260966429E9,1260966429,143.97.2.35
11866976,Statoil,http://en.wikipedia.org/w/index.php?diff=332023176,332023176,1.260966334E9,1260966334,143.97.2.35
6732625,Statoil operations by country,http://en.wikipedia.org/w/index.php?diff=332022384,332022384,1.260966024E9,1260966024,143.97.2.35
6732625,Statoil operations by country,http://en.wikipedia.org/w/index.php?diff=332021757,332021757,1.260965777E9,1260965777,143.97.2.35
6732625,Statoil operations by country,http://en.wikipedia.org/w/index.php?diff=332021397,332021397,1.260965634E9,1260965634,143.97.2.35
6732625,Statoil operations by country,http://en.wikipedia.org/w/index.php?diff=332021209,332021209,1.260965558E9,1260965558,143.97.2.35
6732625,Statoil operations by country,http://en.wikipedia.org/w/index.php?diff=332021115,332021115,1.260965525E9,1260965525,143.97.2.35
6732625,Statoil operations by country,http://en.wikipedia.org/w/index.php?diff=332020912,332020912,1.260965427E9,1260965427,143.97.2.35
6732625,Statoil operations by country,http://en.wikipedia.org/w/index.php?diff=332020614,332020614,1.260965304E9,1260965304,143.97.2.35
