page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
1384094,Alcane,http://fr.wikipedia.org/w/index.php?diff=46936781,46936781,1258620532,40.0.96.3,671113219
658721,Six Sigma,http://fr.wikipedia.org/w/index.php?diff=46263204,46263204,1256812343,40.252.48.100,687616100
2021047,Prison d'État de Corcoran,http://fr.wikipedia.org/w/index.php?diff=45342913,45342913,1254398735,40.0.96.2,671113218
15623,Steve Ballmer,http://fr.wikipedia.org/w/index.php?diff=45298958,45298958,1254298929,40.0.96.2,671113218
1299594,Nœud d'écoute double,http://fr.wikipedia.org/w/index.php?diff=45275322,45275322,1254225957,40.0.96.2,671113218
284393,Roger Ducos,http://fr.wikipedia.org/w/index.php?diff=44003482,44003482,1250635639,40.0.96.1,671113217
462080,Derby (sport),http://fr.wikipedia.org/w/index.php?diff=43750499,43750499,1249973711,40.0.96.2,671113218
462080,Derby (sport),http://fr.wikipedia.org/w/index.php?diff=43750494,43750494,1249973690,40.0.96.2,671113218
4583393,Pfizer,http://fr.wikipedia.org/w/index.php?diff=43434949,43434949,1249053823,148.168.40.4,2494048260
1395629,Renault Mégane,http://fr.wikipedia.org/w/index.php?diff=43338009,43338009,1248766211,40.0.96.2,671113218
3940496,Coup d'État de 2009 au Honduras,http://fr.wikipedia.org/w/index.php?diff=42757610,42757610,1246971882,40.0.96.1,671113217
50154,Microsoft PowerPoint,http://fr.wikipedia.org/w/index.php?diff=42333587,42333587,1245843884,40.0.96.1,671113217
28747,Phytothérapie,http://fr.wikipedia.org/w/index.php?diff=41532248,41532248,1243830978,40.250.0.9,687472649
3036861,Bilinguisme,http://fr.wikipedia.org/w/index.php?diff=40527606,40527606,1241430879,40.252.56.101,687618149
143307,Moto-cross,http://fr.wikipedia.org/w/index.php?diff=40322125,40322125,1240909501,40.252.56.101,687618149
3588661,Fédération pour les langues régionales dans l'enseignement public,http://fr.wikipedia.org/w/index.php?diff=39708351,39708351,1239199544,40.0.96.2,671113218
2107195,Discussion:Jacques Mesrine,http://fr.wikipedia.org/w/index.php?diff=34997760,34997760,1225866828,148.168.40.4,2494048260
