page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
628612,Орден Святого апостола Андрея Первозванного (Российская Федерация),http://ru.wikipedia.org/w/index.php?diff=30347328,30347328,1292861283,148.168.127.10,2494070538
364867,Linux Mint,http://ru.wikipedia.org/w/index.php?diff=18036312,18036312,1251350916,40.0.96.1,671113217
223141,Обновление (политическая партия),http://ru.wikipedia.org/w/index.php?diff=17340607,17340607,1248639069,40.0.96.1,671113217
34953,"Орджоникидзе, Григорий Константинович",http://ru.wikipedia.org/w/index.php?diff=13533884,13533884,1233563304,148.168.40.4,2494048260
34953,"Орджоникидзе, Григорий Константинович",http://ru.wikipedia.org/w/index.php?diff=13533872,13533872,1233563256,148.168.40.4,2494048260
34661,Атомная орбиталь,http://ru.wikipedia.org/w/index.php?diff=13240092,13240092,1232438436,148.168.40.4,2494048260
806893,"Набиуллина, Эльвира Сахипзадовна",http://ru.wikipedia.org/w/index.php?diff=13228675,13228675,1232388111,40.252.56.101,687618149
1055284,"Обсуждение:Набиуллина, Эльвира Сахипзадовна",http://ru.wikipedia.org/w/index.php?diff=13228622,13228622,1232387949,40.0.96.1,671113217
527770,Alcoa,http://ru.wikipedia.org/w/index.php?diff=13097533,13097533,1231854639,148.168.40.4,2494048260
1143481,Малая Антанта,http://ru.wikipedia.org/w/index.php?diff=8666431,8666431,1209897500,40.0.96.1,671113217
1143481,Малая Антанта,http://ru.wikipedia.org/w/index.php?diff=8666184,8666184,1209896443,40.0.96.1,671113217
1143481,Малая Антанта,http://ru.wikipedia.org/w/index.php?diff=8665972,8665972,1209895598,40.0.96.1,671113217
1143481,Малая Антанта,http://ru.wikipedia.org/w/index.php?diff=8665819,8665819,1209894925,40.0.96.1,671113217
1143481,Малая Антанта,http://ru.wikipedia.org/w/index.php?diff=8665814,8665814,1209894899,40.0.96.1,671113217
1143481,Малая Антанта,http://ru.wikipedia.org/w/index.php?diff=8665808,8665808,1209894874,40.0.96.1,671113217
157217,Урбан (инженер),http://ru.wikipedia.org/w/index.php?diff=8659828,8659828,1209845039,40.0.96.1,671113217
140582,Московский государственный лингвистический университет,http://ru.wikipedia.org/w/index.php?diff=5967485,5967485,1192709421,40.0.96.2,671113218
403071,Фрайкор,http://ru.wikipedia.org/w/index.php?diff=3625907,3625907,1174736825,40.0.96.2,671113218
566666,Балтийский фрайкор,http://ru.wikipedia.org/w/index.php?diff=3625901,3625901,1174736781,40.0.96.2,671113218
566666,Балтийский фрайкор,http://ru.wikipedia.org/w/index.php?diff=3625892,3625892,1174736737,40.0.96.2,671113218
566666,Балтийский фрайкор,http://ru.wikipedia.org/w/index.php?diff=3623124,3623124,1174718009,40.0.96.2,671113218
403071,Фрайкор,http://ru.wikipedia.org/w/index.php?diff=3623111,3623111,1174717809,40.0.96.2,671113218
580712,Полония,http://ru.wikipedia.org/w/index.php?diff=3560453,3560453,1174237641,40.0.96.2,671113218
580712,Полония,http://ru.wikipedia.org/w/index.php?diff=3560438,3560438,1174237510,40.0.96.2,671113218
580712,Полония,http://ru.wikipedia.org/w/index.php?diff=3560432,3560432,1174237461,40.0.96.2,671113218
580712,Полония,http://ru.wikipedia.org/w/index.php?diff=3560428,3560428,1174237409,40.0.96.2,671113218
580126,Социалистическая Советская Республика Абхазия,http://ru.wikipedia.org/w/index.php?diff=3559986,3559986,1174233591,40.0.96.2,671113218
580126,Социалистическая Советская Республика Абхазия,http://ru.wikipedia.org/w/index.php?diff=3559968,3559968,1174233389,40.0.96.2,671113218
580126,Социалистическая Советская Республика Абхазия,http://ru.wikipedia.org/w/index.php?diff=3559963,3559963,1174233361,40.0.96.2,671113218
580126,Социалистическая Советская Республика Абхазия,http://ru.wikipedia.org/w/index.php?diff=3558357,3558357,1174222628,40.0.96.2,671113218
580126,Социалистическая Советская Республика Абхазия,http://ru.wikipedia.org/w/index.php?diff=3558343,3558343,1174222546,40.0.96.2,671113218
580126,Социалистическая Советская Республика Абхазия,http://ru.wikipedia.org/w/index.php?diff=3558264,3558264,1174222002,40.0.96.2,671113218
580126,Социалистическая Советская Республика Абхазия,http://ru.wikipedia.org/w/index.php?diff=3558253,3558253,1174221927,40.0.96.2,671113218
580124,Абхазская Автономная Советская Социалистическая Республика,http://ru.wikipedia.org/w/index.php?diff=3558206,3558206,1174221624,40.0.96.2,671113218
580128,Абхазская Советская Социалистическая Республика,http://ru.wikipedia.org/w/index.php?diff=3558199,3558199,1174221584,40.0.96.2,671113218
580126,Социалистическая Советская Республика Абхазия,http://ru.wikipedia.org/w/index.php?diff=3558179,3558179,1174221447,40.0.96.2,671113218
580128,Абхазская Советская Социалистическая Республика,http://ru.wikipedia.org/w/index.php?diff=3556882,3556882,1174209507,40.0.96.2,671113218
580128,Абхазская Советская Социалистическая Республика,http://ru.wikipedia.org/w/index.php?diff=3556870,3556870,1174209386,40.0.96.2,671113218
580126,Социалистическая Советская Республика Абхазия,http://ru.wikipedia.org/w/index.php?diff=3556848,3556848,1174209218,40.0.96.2,671113218
580124,Абхазская Автономная Советская Социалистическая Республика,http://ru.wikipedia.org/w/index.php?diff=3556837,3556837,1174209106,40.0.96.2,671113218
579680,Карафуто,http://ru.wikipedia.org/w/index.php?diff=3552950,3552950,1174164674,40.0.96.2,671113218
579680,Карафуто,http://ru.wikipedia.org/w/index.php?diff=3552943,3552943,1174164645,40.0.96.2,671113218
579680,Карафуто,http://ru.wikipedia.org/w/index.php?diff=3552933,3552933,1174164602,40.0.96.2,671113218
579680,Карафуто,http://ru.wikipedia.org/w/index.php?diff=3552911,3552911,1174164482,40.0.96.2,671113218
579680,Карафуто,http://ru.wikipedia.org/w/index.php?diff=3552899,3552899,1174164404,40.0.96.2,671113218
579680,Карафуто,http://ru.wikipedia.org/w/index.php?diff=3552887,3552887,1174164360,40.0.96.2,671113218
566616,Прибалтийский ландесвер,http://ru.wikipedia.org/w/index.php?diff=3552851,3552851,1174164227,40.0.96.2,671113218
579680,Карафуто,http://ru.wikipedia.org/w/index.php?diff=3552840,3552840,1174164160,40.0.96.2,671113218
579680,Карафуто,http://ru.wikipedia.org/w/index.php?diff=3552809,3552809,1174163994,40.0.96.2,671113218
579187,Корё-сарам,http://ru.wikipedia.org/w/index.php?diff=3552338,3552338,1174161381,40.0.96.2,671113218
512200,Сахалинские корейцы,http://ru.wikipedia.org/w/index.php?diff=3552173,3552173,1174160265,40.0.96.2,671113218
512200,Сахалинские корейцы,http://ru.wikipedia.org/w/index.php?diff=3552163,3552163,1174160185,40.0.96.2,671113218
512200,Сахалинские корейцы,http://ru.wikipedia.org/w/index.php?diff=3552154,3552154,1174160118,40.0.96.2,671113218
512200,Сахалинские корейцы,http://ru.wikipedia.org/w/index.php?diff=3552148,3552148,1174160079,40.0.96.2,671113218
512200,Сахалинские корейцы,http://ru.wikipedia.org/w/index.php?diff=3552077,3552077,1174159618,40.0.96.2,671113218
512200,Сахалинские корейцы,http://ru.wikipedia.org/w/index.php?diff=3552057,3552057,1174159513,40.0.96.2,671113218
512200,Сахалинские корейцы,http://ru.wikipedia.org/w/index.php?diff=3552044,3552044,1174159443,40.0.96.2,671113218
512200,Сахалинские корейцы,http://ru.wikipedia.org/w/index.php?diff=3552029,3552029,1174159379,40.0.96.2,671113218
512200,Сахалинские корейцы,http://ru.wikipedia.org/w/index.php?diff=3551940,3551940,1174158955,40.0.96.2,671113218
