page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
323967,Neulengbach,http://de.wikipedia.org/w/index.php?diff=131797158,131797158,1404301048,78.41.149.241,1311348209
7673021,Bundesgymnasium für Slowenen,http://de.wikipedia.org/w/index.php?diff=131795892,131795892,1404298455,161.110.1.160,2708341152
7673021,Bundesgymnasium für Slowenen,http://de.wikipedia.org/w/index.php?diff=131795867,131795867,1404298409,161.110.1.160,2708341152
7435076,Der häßliche Amerikaner,http://de.wikipedia.org/w/index.php?diff=131744675,131744675,1404134734,78.41.144.42,1311346730
785955,Noreia (Noricum),http://de.wikipedia.org/w/index.php?diff=131738743,131738743,1404123005,78.41.144.41,1311346729
6628776,Bundesamt für Fremdenwesen und Asyl,http://de.wikipedia.org/w/index.php?diff=131653776,131653776,1403856828,78.41.149.241,1311348209
6628776,Bundesamt für Fremdenwesen und Asyl,http://de.wikipedia.org/w/index.php?diff=131653744,131653744,1403856750,78.41.149.241,1311348209
6628776,Bundesamt für Fremdenwesen und Asyl,http://de.wikipedia.org/w/index.php?diff=131653721,131653721,1403856665,78.41.149.241,1311348209
6628776,Bundesamt für Fremdenwesen und Asyl,http://de.wikipedia.org/w/index.php?diff=131653674,131653674,1403856552,78.41.149.241,1311348209
76942,Kristallographie,http://de.wikipedia.org/w/index.php?diff=131635197,131635197,1403787691,78.41.149.241,1311348209
5214397,Marcos Nader,http://de.wikipedia.org/w/index.php?diff=131568579,131568579,1403591751,78.41.149.241,1311348209
7605991,Bereitschaftseinheit Wien,http://de.wikipedia.org/w/index.php?diff=131512276,131512276,1403401706,78.41.149.241,1311348209
1220428,Rossauer Kaserne,http://de.wikipedia.org/w/index.php?diff=131511957,131511957,1403398807,78.41.149.241,1311348209
1220428,Rossauer Kaserne,http://de.wikipedia.org/w/index.php?diff=131511943,131511943,1403398687,78.41.149.241,1311348209
1220428,Rossauer Kaserne,http://de.wikipedia.org/w/index.php?diff=131511881,131511881,1403398418,78.41.149.241,1311348209
7724012,Sabine Buxhofer,http://de.wikipedia.org/w/index.php?diff=131407281,131407281,1403082812,78.41.149.241,1311348209
135869,Minardi,http://de.wikipedia.org/w/index.php?diff=131405919,131405919,1403079514,78.41.149.241,1311348209
711692,Microsoft OneNote,http://de.wikipedia.org/w/index.php?diff=131376228,131376228,1403004524,78.41.149.241,1311348209
87235,Ulmensterben,http://de.wikipedia.org/w/index.php?diff=131371513,131371513,1402994483,78.41.149.241,1311348209
482327,Maria-Anzbach,http://de.wikipedia.org/w/index.php?diff=131268150,131268150,1402655961,78.41.149.241,1311348209
482327,Maria-Anzbach,http://de.wikipedia.org/w/index.php?diff=131268011,131268011,1402655602,78.41.149.241,1311348209
