page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
403005,Wagon,http://en.wikipedia.org/w/index.php?diff=614355544,614355544,1403698025,78.41.149.241,1311348209
403005,Wagon,http://en.wikipedia.org/w/index.php?diff=614355253,614355253,1403697812,78.41.149.241,1311348209
1449065,Microsoft OneNote,http://en.wikipedia.org/w/index.php?diff=613271187,613271187,1403005179,78.41.149.241,1311348209
194340,Internet Key Exchange,http://en.wikipedia.org/w/index.php?diff=610778674,610778674,1401450583,78.41.144.43,1311346731
182494,Roger Taylor (Queen drummer),http://en.wikipedia.org/w/index.php?diff=608796160,608796160,1400220781,78.41.149.241,1311348209
1519049,Eurocopter EC135,http://en.wikipedia.org/w/index.php?diff=605271725,605271725,1398158994,78.41.149.241,1311348209
1519049,Eurocopter EC135,http://en.wikipedia.org/w/index.php?diff=605271558,605271558,1398158860,78.41.149.241,1311348209
36073109,Ludwig Wüst,http://en.wikipedia.org/w/index.php?diff=601166961,601166961,1395738880,144.65.162.6,2420220422
36073109,Ludwig Wüst,http://en.wikipedia.org/w/index.php?diff=601166932,601166932,1395738843,144.65.162.6,2420220422
218311,National Council (Austria),http://en.wikipedia.org/w/index.php?diff=600209170,600209170,1395174528,161.110.1.160,2708341152
35852419,Aphrophoridae,http://en.wikipedia.org/w/index.php?diff=596918026,596918026,1393252538,78.41.149.241,1311348209
140758,Timpani,http://en.wikipedia.org/w/index.php?diff=594838018,594838018,1392046951,78.41.149.241,1311348209
31104154,Austrian Football League,http://en.wikipedia.org/w/index.php?diff=593737341,593737341,1391441054,161.110.1.160,2708341152
26363666,Neil Taylor (guitarist),http://en.wikipedia.org/w/index.php?diff=592952088,592952088,1390998813,78.41.149.241,1311348209
16514078,Christmas in Vienna II,http://en.wikipedia.org/w/index.php?diff=576264846,576264846,1381225416,144.65.178.18,2420224530
15372178,You Don't Own Me,http://en.wikipedia.org/w/index.php?diff=562525667,562525667,1372762503,78.41.144.43,1311346731
