page_id,title,diff_url,revision_id,timestamp,contributor_ip,contributor_ip_int
5447029,Native Polish Church,http://en.wikipedia.org/w/index.php?diff=612740628,612740628,1402647312,194.41.12.4,3257469956
380597,Marzanna,http://en.wikipedia.org/w/index.php?diff=593708195,593708195,1391422231,194.41.12.4,3257469956
5447029,Native Polish Church,http://en.wikipedia.org/w/index.php?diff=571774177,571774177,1378471271,194.41.12.3,3257469955
4227007,Zbruch Idol,http://en.wikipedia.org/w/index.php?diff=566710298,566710298,1375360936,194.41.12.4,3257469956
4227007,Zbruch Idol,http://en.wikipedia.org/w/index.php?diff=566709409,566709409,1375360515,194.41.12.4,3257469956
5447029,Native Polish Church,http://en.wikipedia.org/w/index.php?diff=526664934,526664934,1354778440,194.41.12.2,3257469954
30049865,John Godson,http://en.wikipedia.org/w/index.php?diff=511969851,511969851,1347430972,194.41.12.2,3257469954
27959140,Bolesław the Forgotten,http://en.wikipedia.org/w/index.php?diff=510742848,510742848,1346758318,194.41.12.2,3257469954
4526,Brick,http://en.wikipedia.org/w/index.php?diff=504249203,504249203,1343299011,194.41.12.2,3257469954
2192043,Kupala Night,http://en.wikipedia.org/w/index.php?diff=498490234,498490234,1340196142,194.41.12.2,3257469954
2192043,Kupala Night,http://en.wikipedia.org/w/index.php?diff=498490180,498490180,1340196112,194.41.12.2,3257469954
2192043,Kupala Night,http://en.wikipedia.org/w/index.php?diff=498489541,498489541,1340195745,194.41.12.2,3257469954
1732504,List of bondage models by decade,http://en.wikipedia.org/w/index.php?diff=498320037,498320037,1340103315,91.208.93.125,1540382077
1122780,Sigismund's Column,http://en.wikipedia.org/w/index.php?diff=495263371,495263371,1338453316,194.41.12.2,3257469954
32784067,Żurawiejka,http://en.wikipedia.org/w/index.php?diff=456318655,456318655,1319011455,91.208.93.89,1540382041
4053759,World of Warcraft Trading Card Game,http://en.wikipedia.org/w/index.php?diff=447449682,447449682,1314689483,91.208.93.250,1540382202
175867,Adam Małysz,http://en.wikipedia.org/w/index.php?diff=334688462,334688462,1262070587,194.181.2.95,3266642527
